選區,政黨,候選人,FB,wikidata id,Line,IG,登記日期
臺北市第一選舉區,中國國民黨,汪志冰,https://www.facebook.com/tcc9105/,Q60992793,,,
臺北市第一選舉區,民主進步黨,吳思瑤,https://www.facebook.com/TaipeiNeedYou/,Q8350455,,,
臺北市第一選舉區,一邊一國行動黨,蕭亞譚,https://www.facebook.com/YatanOffice/,,,,
臺北市第一選舉區,無黨籍,王郁揚,https://www.facebook.com/PurePeople.WangYuYang/,,,,
臺北市第一選舉區,無黨籍,李婉鈺,https://www.facebook.com/wanyu.newtaipeicity/,,,,
臺北市第一選舉區,無黨籍,陳峻涵,,,,,
臺北市第一選舉區,宗教聯盟,巫超勝,,,,,2019/11/18
臺北市第二選舉區,中國國民黨,孫大千,https://www.facebook.com/sun.ta.chienn/,Q8279442,,,2019/11/18
臺北市第二選舉區,民主進步黨,何志偉,https://www.facebook.com/newdaytaipeiho/,Q16926490,,,
臺北市第二選舉區,民生公益黨,張穆庭,,Q47666458,,,
臺北市第二選舉區,親民黨,陳怡潔,https://www.facebook.com/507Chenyichieh/,Q15930216,,,
臺北市第三選舉區,中國國民黨,蔣萬安,https://www.facebook.com/chiangwanan/,Q15920021,,,
臺北市第三選舉區,民主進步黨,吳怡農,https://www.facebook.com/thrivetw,,,,2019/11/18
臺北市第三選舉區,台灣民眾黨,何景榮,https://www.facebook.com/KYKChicken/,Q47674016,,,
臺北市第三選舉區,新黨,林明正,https://www.facebook.com/%E6%9E%97%E6%98%8E%E6%AD%A3-1001317079882909/,Q18653941,,,
臺北市第四選舉區,中國國民黨,李彥秀,https://www.facebook.com/ashow.tpe/,Q20063502,,,2019/11/18
臺北市第四選舉區,民主進步黨,高嘉瑜,https://www.facebook.com/ntufishfans/,Q8348414,,,
臺北市第四選舉區,安定力量,錢一凡,,,,,
臺北市第四選舉區,宗教聯盟,文祥志,,,,,2019/11/18
臺北市第四選舉區,一邊一國行動黨,郭正典,,,,,2019/11/18
臺北市第五選舉區,中國國民黨,林郁方,https://www.facebook.com/prof.yufang/,Q6550136,,,
臺北市第五選舉區,無黨籍,林昶佐,https://www.facebook.com/limfreddy/,Q9292454,,,
臺北市第五選舉區,台灣民眾黨,徐立信,https://www.facebook.com/s0921602186/,Q9141237,,,
臺北市第五選舉區,新黨,王炳忠,https://www.facebook.com/bingzhong.wang/,Q16926685,,,
臺北市第五選舉區,國會政黨聯盟,蕭赫麟,https://www.facebook.com/TCND.Party2015053088/,,,,
臺北市第六選舉區,中國國民黨,林奕華,https://www.facebook.com/%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E6%9E%97%E5%A5%95%E8%8F%AF-209010448523/,Q8270435,,,2019/11/18
臺北市第六選舉區,民主進步黨,謝佩芬,https://www.facebook.com/thepeifenhsieh/,Q67934573,,,
臺北市第六選舉區,社會民主黨,范雲,https://www.facebook.com/daan4fanyun/,Q8954159,,,
臺北市第六選舉區,喜樂島聯盟,張余健,https://www.facebook.com/50%E8%90%AC%E9%81%B8%E7%AB%8B%E5%A7%94-%E5%BC%B5%E4%BD%99%E5%81%A5-%E5%A4%A7%E5%AE%89%E5%8D%80%E7%AB%8B%E5%A7%94%E5%80%99%E9%81%B8%E4%BA%BA%E6%9C%8D%E5%8B%99%E8%99%95-103252787739139/,,,,
臺北市第六選舉區,新黨,蘇恆,https://www.facebook.com/SuuHengg/,Q65062186,,,
臺北市第五選舉區,勞動黨,羅世晧,,,,,2019/11/18
臺北市第五選舉區,台灣基進,葉日勤,,,,,2019/11/18
臺北市第六選舉區,台灣維新,沈宜璇,https://www.facebook.com/evadancetw/,,,,
臺北市第七選舉區,中國國民黨,費鴻泰,https://www.facebook.com/%E8%B2%BB%E9%B4%BB%E6%B3%B0%E9%98%BF%E5%8A%9B%E5%85%8B%E5%8F%B8-893657620668012/,,,,2019/11/18
臺北市第七選舉區,民主進步黨,許淑華,https://www.facebook.com/shua0522/,Q8349100,,,
臺北市第七選舉區,台灣民眾黨,蔡宜芳,https://www.facebook.com/Tsai.Yi.Fang.Amy/,,,,
臺北市第七選舉區,安定力量,洪正一,https://www.facebook.com/5PlusOne2020/,,,,
臺北市第七選舉區,無黨籍,池國樑,https://www.facebook.com/2020-%E6%B1%A0-%E5%9C%8B%E6%A8%91-%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1-%E5%80%99%E9%81%B8%E4%BA%BA-792063027833034/,,,,
臺北市第七選舉區,時代力量,陳雨凡,https://www.facebook.com/voteufan/,,,,
臺北市第七選舉區,台灣基進,王映心,https://www.facebook.com/ongiongsim/,,,,2019/11/18
臺北市第八選舉區,中國國民黨,賴士葆,https://www.facebook.com/%E8%B3%B4%E5%A3%AB%E8%91%86-1573873889493647/,Q8275493,,,
臺北市第八選舉區,民主進步黨,阮昭雄,https://www.facebook.com/%E9%98%AE%E6%98%AD%E9%9B%84-228234588681/,Q8351790,,,
臺北市第八選舉區,台灣基進,顏銘緯,https://www.facebook.com/weifortw/,Q18165312,,,2019/11/18
臺北市第八選舉區,台灣民眾黨,張幸松,https://www.facebook.com/shingsong1106/,,,,
臺北市第八選舉區,無黨籍,郭子軒,,,,,2019/11/18
新北市第一選舉區,中國國民黨,洪孟楷,https://www.facebook.com/MongKaiHUNG/?ref=br_rs,Q28417359,,,
新北市第一選舉區,民主進步黨,呂孫綾,https://www.facebook.com/shirleylu312/,Q16928868,,,2019/11/18
新北市第一選舉區,時代力量,張衞航,https://www.facebook.com/%E5%BC%B5%E8%A1%9E%E8%88%AA%E5%BE%8B%E5%B8%AB-470500560373820/,,,,
新北市第一選舉區,安定力量,郭大衛,,,,,
新北市第一選舉區,無黨籍,陳昭宏,https://www.facebook.com/%E7%AC%AC10%E5%B1%86%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E9%81%B8%E8%88%89%E6%96%B0%E5%8C%97%E5%B8%82%E7%AC%AC1%E9%81%B8%E5%8D%80%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA-%E9%99%B3%E6%98%AD%E5%AE%8F-335926227073451/,,,,
新北市第一選舉區,無黨籍,歐崇敬,,,,,2019/11/18
新北市第一選舉區,無黨籍,張立蔭,,,,,2019/11/18
新北市第二選舉區,中國國民黨,黃桂蘭,https://www.facebook.com/newtaipeifirefly/,,,,
新北市第二選舉區,民主進步黨,林淑芬,https://www.facebook.com/linshufen.fans/,Q8357162,,,
新北市第二選舉區,無黨籍,羅和讚,https://www.facebook.com/%E7%BE%85%E5%92%8C%E8%AE%9A-%E4%B8%89%E9%87%8D%E5%8D%80%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA-126304108770584/,,,,
新北市第三選舉區,無黨籍,李翁月娥,https://www.facebook.com/yourliweng/,Q28417334,,,
新北市第三選舉區,民主進步黨,余天,https://www.facebook.com/yutian.fans/,Q8350626,,,2019/11/18
新北市第三選舉區,台灣民眾黨,李旻蔚,https://www.facebook.com/SanchongGirl/,,,,2019/11/18
新北市第三選舉區,台灣維新,林泰龍,https://www.facebook.com/GoodTimeLong/,,,,
新北市第三選舉區,無黨籍,蘇卿彥,https://www.facebook.com/109%E5%B9%B4%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA%E8%98%87%E5%8D%BF%E5%BD%A5%E6%BA%9D%E9%80%9A%E5%B9%B3%E5%8F%B0-1561240837455149/,,,,2019/11/18
新北市第三選舉區,無黨籍,羅和讚,https://www.facebook.com/%E7%BE%85%E5%92%8C%E8%AE%9A-%E4%B8%89%E9%87%8D%E5%8D%80%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA-126304108770584/,,,,2019/11/18
新北市第四選舉區,中國國民黨,陳明義,https://www.facebook.com/imingyi/,Q15955832,,,
新北市第四選舉區,民主進步黨,吳秉叡,https://www.facebook.com/Wubray/,Q8350478,,,2019/11/18
新北市第四選舉區,中國生產黨,賀樺,,,,,
新北市第四選舉區,安定力量,陳俊憲,,,,,
新北市第四選舉區,國會政黨聯盟,王斯儀,https://www.facebook.com/sunny.wang.940436,,,,2019/11/18
新北市第四選舉區,勞動黨,黃博仁,,,,,2019/11/18
新北市第五選舉區,中國國民黨,黃志雄,https://www.facebook.com/ChihHsiung.H/,Q710060,,,
新北市第五選舉區,民主進步黨,蘇巧慧,https://www.facebook.com/chiaohui.su/,Q19825781,,,2019/11/18
新北市第六選舉區,中國國民黨,林國春,https://www.facebook.com/supercoplin/,Q30941039,,,2019/11/18
新北市第六選舉區,民主進步黨,張宏陸,https://www.facebook.com/hunglueball/,,,,2019/11/18
新北市第六選舉區,無黨籍,王向榮,https://www.facebook.com/%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E7%AB%8B%E5%A7%94%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA%E7%8E%8B%E5%90%91%E6%A6%AE-2254769834566581/,,,,
新北市第七選舉區,中國國民黨,柯志恩,https://www.facebook.com/KoChihEn/,Q28416376,,,2019/11/18
新北市第七選舉區,民主進步黨,羅致政,https://www.facebook.com/voteforlo/,Q8349613,,,2019/11/18
新北市第七選舉區,台灣民眾黨,吳達偉,https://www.facebook.com/Z9forTW,,,,
新北市第七選舉區,無黨籍,黃足貞,https://www.facebook.com/%E6%9D%BF%E6%A9%8B%E9%98%BF%E8%B2%9E-114772999905861/,,,,
新北市第七選舉區,台灣工黨,連石磊,,,,,2019/11/18
新北市第七選舉區,宗教聯盟,張源益,,,,,2019/11/18
新北市第八選舉區,中國國民黨,邱烽堯,https://www.facebook.com/chiufengyao/,Q65061386,,,
新北市第八選舉區,民主進步黨,江永昌,https://www.facebook.com/iamyungchang/,Q8350960,,,
新北市第八選舉區,安定力量,李國憲,https://www.facebook.com/QBarDurmasLee/,,,,
新北市第八選舉區,一邊一國行動黨,蔡宗霖,,,,,2019/11/18
新北市第九選舉區,中國國民黨,林德福,https://www.facebook.com/lintefu/,Q8275203,,,
新北市第九選舉區,民主進步黨,蔡沐霖,https://www.facebook.com/MuLinTsai2020/,,,,
新北市第九選舉區,一邊一國行動黨,楊智淵,https://www.facebook.com/%E6%A5%8A%E6%99%BA%E6%B7%B5-%E5%8F%8D%E5%85%B1%E6%9C%80%E5%89%8D%E7%B7%9A-101414597957372/,Q8351737,,,2019/11/18
新北市第九選舉區,台灣維新,陳愷寧,https://www.facebook.com/%E9%99%B3%E6%84%B7%E5%AF%A7-428967124625683/,,,,
新北市第九選舉區,台灣基進,詹宇賢,,,,,2019/11/18
新北市第九選舉區,勞動黨,林聲洲,,,,,2019/11/18
新北市第十選舉區,中國國民黨,林金結,https://www.facebook.com/%E6%9E%97%E9%87%91%E7%B5%90-659037314174633/,,,,2019/11/18
新北市第十選舉區,民主進步黨,吳琪銘,https://www.facebook.com/wuqiming519/,Q19849414,,,
新北市第十選舉區,喜樂島聯盟,楊詩龍,https://www.facebook.com/taxbymywill/,,,,
新北市第十選舉區,無黨籍,李縉穎,https://www.facebook.com/LeeChinYing/,,,,2019/11/18
新北市第十一選舉區,中國國民黨,羅明才,https://www.facebook.com/mtlo.tw/,Q8275466,,,
新北市第十一選舉區,民主進步黨,張銘祐,https://www.facebook.com/mingyu19840717/,,,,2019/11/18
新北市第十一選舉區,台灣基進,李欣翰,,,,,
新北市第十二選舉區,中國國民黨,李永萍,https://www.facebook.com/LeeYongping2019/,Q8274316,,,
新北市第十二選舉區,民主進步黨,賴品妤,https://www.facebook.com/LaiPinYuSouichi/,Q16260539,,,2019/11/18
新北市第十二選舉區,安定力量,孫繼正,https://www.facebook.com/SJZ2020/,Q30947469,,,
新北市第十二選舉區,時代力量,賴嘉倫,https://www.facebook.com/GoGoAlan2020/,Q67934407,,,
新北市第十二選舉區,無黨籍,周武榮,,,,,
桃園市第一選舉區,中國國民黨,陳根德,https://www.facebook.com/kentechen/,Q8273222,,,2019/11/18
桃園市第一選舉區,民主進步黨,鄭運鵬,https://www.facebook.com/phoenix.cheng.96,Q8357125,,,2019/11/18
桃園市第一選舉區,台灣民眾黨,陳泓維,https://www.facebook.com/LAG555/,,,,2019/11/18
桃園市第一選舉區,一邊一國行動黨,沈育和,,,,,2019/11/18
桃園市第二選舉區,中國國民黨,吳志揚,https://www.facebook.com/johnwu1969/,Q8277261,,,2019/11/18
桃園市第二選舉區,民主進步黨,黃世杰,https://www.facebook.com/SCHuangLawyer/,Q18669496,,,
桃園市第二選舉區,台灣維新,吳文凱,https://www.facebook.com/nationdoctor/,,,,
桃園市第三選舉區,中國國民黨,魯明哲,https://www.facebook.com/taoyuan.jackru/,Q30941045,,,
桃園市第三選舉區,民主進步黨,彭俊豪,https://www.facebook.com/pengwintaoyuan/,Q19825622,,,2019/11/18
桃園市第三選舉區,時代力量,林佳瑋,https://www.facebook.com/cwfor2020/,Q64410402,@cw2020,cw2020_npp,2019/11/18
桃園市第四選舉區,中國國民黨,萬美玲,https://www.facebook.com/wanmeiling.tw/,Q67934538,,,
桃園市第四選舉區,民主進步黨,鄭寶清,https://www.facebook.com/boching520/,Q8349451,,,2019/11/18
桃園市第四選舉區,國會政黨聯盟,林國政,https://www.facebook.com/taoyuan.goodbaba,,,,
桃園市第五選舉區,中國國民黨,呂玉玲,https://www.facebook.com/yuling616/,Q10919979,,,2019/11/18
桃園市第五選舉區,民主進步黨,蔣絜安,https://www.facebook.com/ChiangChiehAn/,Q18658400,,,2019/11/18
桃園市第五選舉區,國會政黨聯盟,張誠,https://www.facebook.com/PhDChang/,Q21055064,,,
桃園市第五選舉區,一邊一國行動黨,黃國華,,,,,
桃園市第六選舉區,中國國民黨,陳學聖,https://www.facebook.com/junglicity/,Q8273045,,,
桃園市第六選舉區,無黨籍,趙正宇,https://www.facebook.com/JhengYuOfficeBlog,Q22100240,,,2019/11/18
臺中市第一選舉區,中國國民黨,林佳新,https://www.facebook.com/%E6%9E%97%E4%BD%B3%E6%96%B0-1665203563581754/,,,,
臺中市第一選舉區,民主進步黨,蔡其昌,https://www.facebook.com/taichunggogogo/,Q8350279,,,
臺中市第二選舉區,中國國民黨,顏寬恒,https://www.facebook.com/kuanheng99/,Q8278820,,,2019/11/18
臺中市第二選舉區,台灣基進,陳柏惟,https://www.facebook.com/3Q.PehUi/,Q55697080,,,
臺中市第三選舉區,中國國民黨,楊瓊瓔,https://www.facebook.com/%E5%A5%BD%E7%AB%8B%E5%A7%94-%E6%A5%8A%E7%93%8A%E7%93%94-195094157238158/,Q8278752,,,
臺中市第三選舉區,無黨籍,洪慈庸,https://www.facebook.com/newpowerhung/,Q19849402,,,
臺中市第三選舉區,台灣民眾黨,張睿倉,https://www.facebook.com/ChangRueiTsang180/,,,,
臺中市第三選舉區,宗教聯盟,朱立凡,https://www.facebook.com/Forlifanshow/,,,,2019/11/18
臺中市第四選舉區,中國國民黨,黃馨慧,https://www.facebook.com/hsinghwi200/,Q28409830,,,2019/11/18
臺中市第四選舉區,民主進步黨,張廖萬堅,https://www.facebook.com/wanchien0209/,Q8347319,,,
臺中市第四選舉區,台灣民眾黨,張渝江,https://www.facebook.com/eugenepechang/,,,,2019/11/18
臺中市第四選舉區,國會政黨聯盟,楊書銘,,,,,
臺中市第四選舉區,無黨籍,林金連,https://www.facebook.com/%E6%9E%97%E9%87%91%E9%80%A3-%E8%87%BA%E4%B8%AD%E5%B8%82-%E8%A5%BF%E5%8D%97%E5%B1%AF%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA-120674382654249/,,,,
臺中市第四選舉區,無黨籍,陳志彬,,,,,2019/11/18
臺中市第五選舉區,中國國民黨,沈智慧,https://www.facebook.com/eqmame.tw/,Q8272590,,,
臺中市第五選舉區,民主進步黨,莊競程,https://www.facebook.com/Power3C/,,,,
臺中市第五選舉區,台灣民眾黨,謝文卿,https://www.facebook.com/kevin168168/,,,,
臺中市第五選舉區,安定力量,林秋屏,https://www.facebook.com/evangelion.ping/,,,,
臺中市第五選舉區,無黨籍,劉國隆,https://www.facebook.com/%E5%8A%89%E5%9C%8B%E9%9A%86%E5%BB%BA%E7%AF%89%E5%B8%AB-889579694439132/,Q22098919,,,
臺中市第五選舉區,無黨籍,段體佩,https://www.facebook.com/%E5%B0%8F%E5%B8%82%E6%B0%91%E6%AE%B5%E9%AB%94%E4%BD%A9-445714529506872/,,,,2019/11/18
臺中市第五選舉區,無黨籍,苗豐隆,,,,,2019/11/18
臺中市第五選舉區,無黨籍,黃名白,,,,,2019/11/18
臺中市第六選舉區,中國國民黨,李中,https://www.facebook.com/iloveleechang/,,,,
臺中市第六選舉區,民主進步黨,黃國書,https://www.facebook.com/%E9%BB%83%E5%9C%8B%E6%9B%B8-566381323386617/,Q19058548,,,
臺中市第六選舉區,台灣維新,梁雅羿,https://www.facebook.com/Yayiitaiwan/,,,,
臺中市第六選舉區,宗教聯盟,洪偉富,https://www.facebook.com/%E6%B4%AA%E5%81%89%E5%AF%8C-957194977814402/,,,,2019/11/18
臺中市第七選舉區,中國國民黨,莊子富,https://www.facebook.com/FM1007Nico/,Q65049855,,,
臺中市第七選舉區,民主進步黨,何欣純,https://www.facebook.com/94achun/,Q8348788,,,
臺中市第七選舉區,一邊一國行動黨,林培基,https://www.facebook.com/%E6%9E%97%E5%9F%B9%E5%9F%BA-%E5%A4%A7%E9%87%8C%E5%A4%AA%E5%B9%B3%E7%AB%8B%E5%A7%94%E5%80%99%E9%81%B8%E4%BA%BA-104129587671728/,,,,
臺中市第八選舉區,中國國民黨,江啟臣,https://www.facebook.com/johnnyccchiang/,Q8279603,,,2019/11/18
臺中市第八選舉區,民主進步黨,翁美春,https://www.facebook.com/IamMeiChun/,Q8350409,,,2019/11/18
臺南市第一選舉區,中國國民黨,蔡育輝,https://www.facebook.com/yuhui877/,Q50082016,,,2019/11/18
臺南市第一選舉區,民主進步黨,賴惠員,https://www.facebook.com/liahuiyuan/,Q65056006,,,
臺南市第一選舉區,台灣民意黨,黃天辰,,,,,2019/11/18
臺南市第一選舉區,宗教聯盟,蘇志仁,,,,,
臺南市第一選舉區,台灣民眾黨,顏耀星,https://www.facebook.com/SuperStarYen/,,,,
臺南市第一選舉區,無黨籍,顏純左,https://www.facebook.com/yctfans/,,,,
臺南市第一選舉區,無黨籍,蔡承攸,https://www.facebook.com/Goingchi/,,,,
臺南市第一選舉區,中華聯合黨,康淑敏,,,,,2019/11/18
臺南市第二選舉區,中國國民黨,李武龍,https://www.facebook.com/liwulong.2020/,,,,2019/11/18
臺南市第二選舉區,民主進步黨,郭國文,https://www.facebook.com/gogowin2010/,Q22100706,,,
臺南市第二選舉區,宗教聯盟,王章記,https://www.facebook.com/neogeorgewang,,,,
臺南市第三選舉區,中國國民黨,童小芸,https://www.facebook.com/lisa.l.lisa1,,,,2019/11/18
臺南市第三選舉區,民主進步黨,陳亭妃,https://www.facebook.com/fififans/,Q8347820,,,
臺南市第三選舉區,宗教聯盟,吳木,https://www.facebook.com/wumusinger/,,,,
臺南市第四選舉區,中國國民黨,林燕祝,https://www.facebook.com/misslin.tainan/,Q50082968,,,2019/11/18
臺南市第四選舉區,民主進步黨,林宜瑾,https://www.facebook.com/ichin0825/,Q15905278,,,
臺南市第四選舉區,一邊一國行動黨,林志文,https://www.facebook.com/magic0320/,,,,2019/11/18
臺南市第四選舉區,宗教聯盟,林淑娟,,,,,
臺南市第四選舉區,無黨籍,蔡明峰,https://www.facebook.com/Tsaimingfengfans/,,,,
臺南市第五選舉區,中國國民黨,蔡淑惠,https://www.facebook.com/TainanCityCouncilMember.Services/,,,,2019/11/18
臺南市第五選舉區,民主進步黨,林俊憲,https://www.facebook.com/seeklin/,Q19825673,,,
臺南市第五選舉區,安定力量,李伯利,https://www.facebook.com/tainanlipoli/,,,,
臺南市第五選舉區,無黨籍,林義豐,https://www.facebook.com/ceotainan/,,,,2019/11/18
臺南市第五選舉區,無黨籍,陳致曉,https://www.facebook.com/%E9%99%B3%E8%87%B4%E6%9B%89-%E9%A1%98%E5%90%8C%E5%BC%B1%E5%B0%91%E9%AC%A5%E5%BC%B7%E6%AC%8A-%E5%8F%B0%E5%8D%97%E5%B8%82%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA-102790324425631/,,,,
臺南市第六選舉區,中國國民黨,洪秀柱,https://www.facebook.com/ChuChuPepper/,Q8274029,,,2019/11/18
